time,G(i),H_sun,T2m,WS10m,Int
20200109:1406,724.89,47.2,35.98,0.62,0
20200109:1506,539.25,35.45,35.77,1.03,0
20200109:1606,319.96,22.57,33.9,1.93,0
20200109:1706,103.25,9.12,31.98,2.48,0
20200109:1806,0,0,29.88,2.69,0
20200109:1906,0,0,28.43,2.21,0
20200109:2006,0,0,27.52,2.07,0
20200109:2106,0,0,26.84,1.93,0
20200109:2206,0,0,26.42,1.93,0
20200109:2306,0,0,26.17,2,0
20200110:0006,0,0,25.98,2,0
20200110:0106,0,0,25.79,1.72,0
20200110:0206,0,0,25.66,1.52,0
20200110:0306,0,0,25.55,1.31,0
20200110:0406,0,0,25.59,1.03,0
20200110:0506,0,0,25.71,0.97,0
20200110:0606,0,0,25.78,0.97,0
20200110:0706,166.62,13.17,26.23,1.66,0
20200110:0806,361.92,26.51,27.16,1.86,0
20200110:0906,552.06,39.16,28.46,1.93,0
20200110:1006,658.79,50.4,30.31,1.72,0
20200110:1106,836.28,58.65,31.92,1.79,0
20200110:1206,860.49,61.21,32.9,1.93,0
20200110:1306,780.02,56.72,33.38,2.07,0
20200110:1406,581.22,47.36,33.39,2.21,0
20200110:1506,522.85,35.6,32.4,2.34,0
20200110:1606,313.74,22.71,31.05,2.34,0
20200110:1706,101.27,9.24,29.33,2.69,0
20200110:1806,0,0,28.29,2.41,0
20200110:1906,0,0,27.74,2.14,0
20200110:2006,0,0,27.04,1.93,0
20200110:2106,0,0,26.61,1.79,0
20200110:2206,0,0,26.27,1.79,0
20200110:2306,0,0,26.01,1.86,0
20200111:0006,0,0,25.84,1.93,0
20200111:0106,0,0,25.7,2,0
20200111:0206,0,0,25.63,2.21,0
20200111:0306,0,0,25.76,2.28,0
20200111:0406,0,0,25.83,2.14,0
20200111:0506,0,0,25.79,2.21,0
20200111:0606,0,0,25.72,1.93,0
20200111:0706,153.19,13.12,26.18,2.21,0
20200111:0806,367.42,26.48,27.11,2.41,0
20200111:0906,544.48,39.15,28.29,2.28,0
20200111:1006,695.57,50.44,29.91,2,0
20200111:1106,791.52,58.75,31.19,2,0
20200111:1206,776.99,61.36,31.78,2.34,0
20200111:1306,766.62,56.89,29.74,2.97,0
20200111:1406,485.56,47.53,28.81,2.76,0
20200111:1506,541.49,35.75,29.37,2.28,0
20200111:1606,317.14,22.84,29.3,2.62,0
20200111:1706,84.75,9.36,28.66,2.55,0
20200111:1806,0,0,27.57,2.07,0
20200111:1906,0,0,27.29,2.14,0
20200111:2006,0,0,26.7,1.72,0
20200111:2106,0,0,26.23,1.72,0
20200111:2206,0,0,25.94,1.45,0
20200111:2306,0,0,25.64,1.24,0
20200112:0006,0,0,25.45,1.17,0
20200112:0106,0,0,25.27,1.1,0
20200112:0206,0,0,25.25,1.03,0
